application_id,application_date,device_type,device_age_years,device_msrp,lease_term_months,monthly_payment,residual_value,credit_tier,credit_score,monthly_income,employment_type,existing_monthly_debt,dti_ratio,credit_utilization,prior_leases_completed,prior_defaults,region,defaulted
APP-01570,4/7/2024,iPhone14,1,799,24,32.36,409.09,average,634,845,unemployed,293,0.385,0.14,3,1,N/A,1
APP-01304,3/31/2024,dell xps 13,3,1199,24,59.35,392.89,poor,544,,self_employed,,,0.76,,1,midwest,1
APP-00911,4/4/2024,Galaxy S22,2,649,12,42.83,332.29,gd,722,N/A,FULL_TIME,,,0.27,1,0,mid west,0
APP-00213,1/31/2024,Galaxy S22,2,649,12 months,64.25,332.29,bad,374,2017,parttime,700,0.379,0.9,5,3,Southeast,0
APP-00979,12/13/2024,samsung galaxy s23,1,849,12,68.77,543.36,Fair,592,1379,Part Time,529,0.433,,2,1,Midwest,0
APP-01087,9/10/2024,iPhone14,1,799,36,17.58,327.27,GOOD,723,4897,Self Employed,1557,0.322,0.53,2,0,Southeast,0
APP-01987,9/25/2024,Samsung Galaxy S23,1,849,12,68.77,543.36,Fair,634,1071,Part Time,112,0.169,,0,0,North East,0
APP-00877,7/9/2024,iPad Pro,1,1099,36,36.27,450.15,Poor,562,6275,self_employed,1546,0.252,0.68,,0,North East,0
APP-00725,8/10/2024,Dell XPS-13,3,1199,36,21.58,314.31,exc,787,7271,full_time,2409,0.334,,0,0,Northeast,0
APP-01944,11/10/2024,macbook air,2,1299,12,85.73,665.09,GOOD,696,1429,STUDENT,201,0.201,0.69,4,0,Southeast,0
APP-00908,5/5/2024,MAC Book Air,2,1299,12,85.73,,good,693,2290,parttime,469,0.242,0.69,3,0,NORTHEAST,0
APP-01311,1/30/2024,MacBook Air,2,1299,24 months,42.87,532.07,gd,704,3267,Self Employed,,,0.64,2,0,Midwest,0
APP-01618,3/24/2024,MS Surface Pro,2,1599,24,79.15,654.95,bad,534,306,UNEMPLOYED,100,0.585,0.89,4,3,northeast,1
APP-01254,9/2/2024,Samsung Galaxy S22,2,649,36,11.68,,exc,805,3776,self_employed,594,0.16,0.19,2,0,MIDWEST,0
APP-00990,7/17/2024,Apple iPad Pro,1,1099,36,19.78,450.15,exc,778,390,UNEMPLOYED,59,0.202,0.25,1,0,Northeast,0
APP-00186,9/24/2024,Samsung Galaxy S22,2,649,12,52.57,332.29,Fair,622,5236,FULL_TIME,1906,0.374,0.36,5,0,SOUTHWEST,0
APP-00716,12/11/2024,DELL XPS13,3,1199,-1,26.38,314.31,GOOD,715,707,student,111,0.194,0.62,3,0,West,0
APP-00952,12/9/2024,iPhone13,2,599,24,16.17,245.35,excellent,764,1021,Student,332,0.341,,2,0,Southeast,0
APP-00192,5/31/2024,IPAD PRO,1,1099,36,29.67,450.15,Fair,651,5054,self_employed,1997,0.401,0.88,3,1,southwest,0
APP-00871,4/16/2024,Dell XPS 13,3,1199,12,118.7,491.11,poor,456,1534,student,,,0.86,5,0,Southwest,0
APP-00348,3/10/2024,Dell XPS-13,3,1199,24 months,32.37,392.89,excellent,805,577,Unemployed,36,0.118,0.34,3,0,south east,0
APP-01193,3/22/2026,IPAD PRO,1,1099,36,36.27,450.15,Poor,545,1528,student,76,0.073,0.63,,3,Southeast,1
APP-01836,10/23/2024,Apple iPhone 14,1,799,24,26.37,409.09,good,719,1518,student,148,0.115,0.76,4,0,Northeast,0
APP-01047,9/8/2024,Galaxy S23,1,849,36,18.68,347.75,GOOD,724,9189,fulltime,314,0.036,0.59,4,0,Unknown,0
APP-01628,10/14/2024,dell xps 13,3,1199,36 months,21.58,314.31,exc,751,,Unemployed,,,0.17,3,0,southwest,0
APP-01742,8/10/2024,Surface Pro,2,1599,24,79.15,654.95,poor,390,1873,parttime,234,0.167,0.69,2,3,Northeast,1
APP-01412,7/14/2024,Galaxy S22,2,649,36,17.52,212.66,Fair,604,865,STUDENT,92,0.127,0.4,0,1,Southeast,0
